FREQ,TIME_PERIOD,GEO_PICT,INDICATOR,SEX,URBANIZATION,DISABILITY,OCCUPATION,ECONOMIC_SECTOR,OBS_VALUE,UNIT_MEASURE,UNIT_MULT,OBS_STATUS,DATA_SOURCE,OBS_COMMENT,CONF_STATUS
A,2019,MH,POPCNT,M,U,2,7,D,11,N,,,,,
A,2019,MH,POPCNT,F,U,1,8,D,53,N,,,,,
A,2019,VU,POPCNT,M,R,1,8,D,46,N,,,,,
A,2019,KI,POPCNT,M,U,1,8,D,21,N,,,,,
A,2019,MH,POPCNT,M,U,1,8,D,13,N,,,,,
A,2019,VU,POPCNT,M,U,1,8,D,34,N,,,,,
A,2021,TO,POPCNT,F,R,1,9,D,4,N,,,,,
A,2019,KI,POPCNT,M,R,1,9,D,6,N,,,,,
A,2021,TO,POPCNT,M,R,1,9,D,18,N,,,,,
A,2019,MH,POPCNT,M,U,1,9,D,13,N,,,,,
A,2021,TO,POPCNT,M,U,1,9,D,7,N,,,,,
A,2021,TO,POPCNT,M,R,1,1,E,1,N,,,,,
A,2019,VU,POPCNT,M,U,1,1,E,20,N,,,,,
A,2021,TO,POPCNT,M,R,1,3,E,25,N,,,,,
A,2019,MH,POPCNT,M,U,1,3,E,13,N,,,,,
A,2021,TO,POPCNT,M,U,1,3,E,7,N,,,,,
A,2021,TO,POPCNT,F,R,1,4,E,7,N,,,,,
A,2021,TO,POPCNT,M,R,1,5,E,7,N,,,,,
A,2019,MH,POPCNT,M,U,1,5,E,67,N,,,,,
A,2019,MH,POPCNT,F,R,1,7,E,17,N,,,,,
A,2021,TO,POPCNT,M,R,1,7,E,14,N,,,,,
A,2019,VU,POPCNT,M,U,1,7,E,5,N,,,,,
A,2021,TO,POPCNT,M,U,1,7,E,15,N,,,,,
A,2021,TO,POPCNT,M,R,1,8,E,12,N,,,,,
A,2019,MH,POPCNT,M,U,1,8,E,34,N,,,,,
A,2021,TO,POPCNT,M,U,1,8,E,15,N,,,,,
A,2019,MH,POPCNT,F,U,1,9,E,20,N,,,,,
A,2021,TO,POPCNT,F,U,1,9,E,7,N,,,,,
