FREQ,TIME_PERIOD,GEO_PICT,INDICATOR,URBANISATION,SEX,AGE,DISABILITY,EDUCATION,OBS_VALUE,UNIT_MEASURE,UNIT_MULT,DATASOURCE,OBS_STATUS,OBS_COMMENT,CONF_STATUS
A,2019,MH,POPCNT,R,F,Y65T999,1,1,11,N,,,,,
A,2019,VU,POPCNT,R,F,Y65T999,1,1,2232,N,,,,,
A,2020,KI,POPCNT,R,F,Y65T999,1,1,318,N,,,,,
A,2020,PW,POPCNT,R,F,Y65T999,1,1,24,N,,,,,
A,2020,VU,POPCNT,R,F,Y65T999,1,1,1792,N,,,,,
A,2021,TO,POPCNT,R,F,Y65T999,1,1,728,N,,,,,
A,2019,KI,POPCNT,U,F,Y65T999,1,1,205,N,,,,,
A,2019,MH,POPCNT,U,F,Y65T999,1,1,88,N,,,,,
A,2019,VU,POPCNT,U,F,Y65T999,1,1,770,N,,,,,
A,2020,KI,POPCNT,U,F,Y65T999,1,1,313,N,,,,,
A,2020,PW,POPCNT,U,F,Y65T999,1,1,29,N,,,,,
A,2020,VU,POPCNT,U,F,Y65T999,1,1,334,N,,,,,
A,2021,MH,POPCNT,U,F,Y65T999,1,1,39,N,,,,,
A,2021,TO,POPCNT,U,F,Y65T999,1,1,171,N,,,,,
A,2017,TV,POPCNT,R,M,Y65T999,1,1,6,N,,,,,
A,2019,KI,POPCNT,R,M,Y65T999,1,1,238,N,,,,,
A,2019,MH,POPCNT,R,M,Y65T999,1,1,5,N,,,,,
A,2019,VU,POPCNT,R,M,Y65T999,1,1,2975,N,,,,,
A,2020,KI,POPCNT,R,M,Y65T999,1,1,185,N,,,,,
A,2020,PW,POPCNT,R,M,Y65T999,1,1,7,N,,,,,
A,2020,VU,POPCNT,R,M,Y65T999,1,1,1892,N,,,,,
A,2021,TO,POPCNT,R,M,Y65T999,1,1,553,N,,,,,
A,2019,KI,POPCNT,U,M,Y65T999,1,1,114,N,,,,,
A,2019,MH,POPCNT,U,M,Y65T999,1,1,1,N,,,,,
A,2019,VU,POPCNT,U,M,Y65T999,1,1,743,N,,,,,
A,2020,KI,POPCNT,U,M,Y65T999,1,1,130,N,,,,,
A,2020,PW,POPCNT,U,M,Y65T999,1,1,9,N,,,,,
A,2020,VU,POPCNT,U,M,Y65T999,1,1,314,N,,,,,
A,2021,MH,POPCNT,U,M,Y65T999,1,1,25,N,,,,,
A,2021,TO,POPCNT,U,M,Y65T999,1,1,78,N,,,,,
A,2019,KI,POPCNT,R,F,Y25T54,2,1,71,N,,,,,
A,2019,VU,POPCNT,R,F,Y25T54,2,1,282,N,,,,,
A,2020,KI,POPCNT,R,F,Y25T54,2,1,73,N,,,,,
A,2020,VU,POPCNT,R,F,Y25T54,2,1,419,N,,,,,
A,2021,TO,POPCNT,R,F,Y25T54,2,1,31,N,,,,,
A,2019,KI,POPCNT,U,F,Y25T54,2,1,62,N,,,,,
